10336 70832 	1)羅嚴克拉姆 
10506 71002 	94)摩特
7990 68486 	95)歐拉
7888 68384 	96)歐根
10744 71240 	97)魯比茲
10710 71206 	98)魯茲
9452 69948 	99)諾多海姆
9044 69540 	100)錦茲
10404 70900 	101)繆拉
9112 69608 	102)賽貝爾
13294 73790 	103)薩姆
10370 70866 	104)謬肯貝爾加
10336 70832 	105)謬傑爾
13396 73892 	106)謬森休特
10914 71410 	107)羅嚴塔爾
10574 71070 	108)蘭斯貝爾克
12104 72600 	1)巴格達胥
12206 72702 	2)比克古
11356 71852 	3)卡介倫
11322 71818 	4)卡爾先
11560 72056 	5)可那利
11866 72362 	6)史托克斯
11832 72328 	7)史路茲卡利達
12036 72532 	8)尼爾遜
12410 72906 	9)布拉多喬
12512 73008 	10)布隆茲
12444 72940 	11)布魯姆哈爾特
11186 71682 	12)伍爾夫
11730 72226 	13)先寇布
12002 72498 	14)托達
13192 73688 	15)自由行星同盟最高評議會
11220 71716 	16)艾凡思
11288 71784 	17)艾默森
11492 71988 	18)克魯思齊
11696 72192 	19)沙尼亞
12546 73042 	20)貝伊
11152 71648 	21)貝歐拉
13532 74028 	22)邦斯格爾
11390 71886 	23)阮文紹
10982 71478 	24)亞典波羅
13668 74164 	25)亞修
11254 71750 	26)亞達
11084 71580 	27)亞爾。沙列姆
12818 73314 	28)姆萊
12172 72668 	29)帕斯里契夫
12988 73484 	30)拉普
12954 73450 	31)拉歐
13022 73518 	32)林滋
12614 73110 	33)波布蘭
12648 73144 	34)波羅汀
12274 72770 	35)法菲爾
11934 72430 	36)邱
11016 71512 	37)阿普頓
13226 73722 	38)威迪
13124 73620 	39)洛克維爾
11526 72022 	40)科庫蘭
11662 72158 	41)科爾德威
11798 72294 	42)夏爾強
11424 71920 	43)庫布斯里
11764 72260 	44)席特尼
11458 71954 	45)D。格林希爾
12478 72974 	46)F。格林希爾
12750 73246 	47)馬利諾
12716 73212 	48)馬里涅汀
13566 74062 	49)馬斯喀尼
11594 72090 	50)高尼夫
11628 72124 	51)I。高尼夫
12138 72634 	52)培特雷
12240 72736 	53)畢羅萊尼
12852 73348 	54)莫頓
11900 72396 	55)陳
11118 71614 	56)華利蒙特
12342 72838 	57)菲爾茲
12308 72804 	58)費雪
11050 71546 	59)雅拉肯
12886 73382 	60)楊
13634 74130 	61)賈瓦夫
13090 73586 	62)路菲普
12580 73076 	63)赫伍得
11968 72464 	64)德森
12784 73280 	65)慕亞
13056 73552 	66)魯格拉希
12376 72872 	67)霍克
13600 74096 	68)戴休
13158 73654 	69)羅波斯
12070 72566 	70)波特
10268 70764 	71)瑪林道夫
10472 70968 	72)梅爾卡茲
8908 69404 	73)舒奈德
12920 73416     74)敏茲
12682 73178     75)馬遜
